Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,45.430000,45.680000,45.099998,45.349998,39.040707,1792400
2017-03-28,45.320000,45.950001,45.240002,45.720001,39.359238,2135600
2017-03-29,45.599998,46.389999,45.590000,46.240002,39.806900,2477800
2017-03-30,46.320000,46.330002,45.950001,46.110001,39.694981,2018900
2017-03-31,45.880001,46.310001,45.880001,46.040001,39.634724,2236100
2017-04-03,46.200001,46.259998,45.540001,45.799999,39.428108,2300300
2017-04-04,45.669998,45.810001,45.220001,45.410000,39.092361,2827000
2017-04-05,45.419998,45.830002,45.099998,45.259998,38.963223,2825600
2017-04-06,45.169998,45.459999,44.919998,45.250000,38.954628,2285000
2017-04-07,45.290001,45.389999,44.880001,44.889999,38.644714,1418500
2017-04-10,44.910000,45.200001,44.720001,44.990002,38.730797,1638400
2017-04-11,44.930000,44.930000,44.439999,44.540001,38.343407,2137200
2017-04-12,44.639999,44.900002,44.320000,44.650002,38.438095,2718400
2017-04-13,44.549999,44.580002,44.180000,44.279999,38.119576,2212800
2017-04-17,44.290001,44.750000,44.290001,44.680000,38.463928,2944000
2017-04-18,44.700001,45.830002,44.549999,45.410000,39.092361,3757800
2017-04-19,45.330002,45.480000,44.509998,44.599998,38.395054,2896800
2017-04-20,44.709999,45.080002,44.529999,44.900002,38.653324,2539300
2017-04-21,45.040001,45.299999,44.720001,44.810001,38.575844,2081100
2017-04-24,45.270000,45.599998,45.180000,45.380001,39.066536,2661400
2017-04-25,45.450001,45.880001,45.380001,45.580002,39.238712,1844100
2017-04-26,45.660000,45.689999,45.250000,45.270000,38.971848,1549100
2017-04-27,45.139999,45.860001,45.090000,45.779999,39.410885,1803800
2017-04-28,45.630001,45.810001,45.480000,45.750000,39.385059,2148500
2017-05-01,45.880001,45.910000,45.419998,45.730000,39.367844,2582700
2017-05-02,43.000000,43.990002,41.520000,41.669998,35.872684,8265700
2017-05-03,41.720001,41.860001,41.099998,41.310001,35.562775,6239600
2017-05-04,41.369999,42.849998,41.290001,42.400002,36.501141,4432500
2017-05-05,42.669998,42.840000,42.169998,42.430000,36.526955,3244200
2017-05-08,42.500000,43.099998,42.299999,42.959999,36.983219,3907100
2017-05-09,42.750000,42.820000,42.240002,42.360001,36.466686,2966300
2017-05-10,42.369999,42.470001,42.009998,42.290001,36.406433,2489600
2017-05-11,42.299999,42.330002,41.910000,42.029999,36.182613,2181100
2017-05-12,42.130001,42.230000,41.860001,41.959999,36.122334,1557200
2017-05-15,42.029999,42.220001,41.810001,42.139999,36.277302,3052000
2017-05-16,41.959999,42.299999,41.660000,41.900002,36.346703,2251300
2017-05-17,41.900002,42.090000,41.480000,41.520000,36.017063,2470500
2017-05-18,41.450001,41.669998,41.110001,41.310001,35.834896,2394600
2017-05-19,41.369999,41.689999,41.369999,41.500000,35.999718,3678200
2017-05-22,41.549999,41.759998,41.389999,41.500000,35.999718,3082800
2017-05-23,41.549999,43.480000,41.310001,43.040001,37.335606,6886500
2017-05-24,42.480000,42.880001,42.169998,42.549999,36.910542,3686500
2017-05-25,42.540001,42.910000,42.389999,42.619999,36.971272,2037800
2017-05-26,42.560001,42.840000,42.180000,42.450001,36.823803,1888400
2017-05-30,42.220001,42.270000,42.000000,42.110001,36.528866,1834100
2017-05-31,42.290001,42.290001,41.570000,41.580002,36.069111,3390500
2017-06-01,41.049999,41.830002,40.799999,41.820000,36.277302,3497100
2017-06-02,41.950001,42.340000,41.689999,42.220001,36.624279,2568500
2017-06-05,42.110001,42.150002,41.599998,41.939999,36.381386,3422100
2017-06-06,41.869999,42.139999,41.560001,41.950001,36.390072,2485100
2017-06-07,42.040001,42.189999,41.520000,41.910000,36.355381,2787100
2017-06-08,41.910000,42.189999,41.709999,42.009998,36.442120,2325800
2017-06-09,41.810001,42.130001,41.650002,42.020000,36.450802,2306700
2017-06-12,42.070000,42.680000,41.959999,42.430000,36.806450,3481400
