Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,56.849998,58.450001,56.549999,58.330002,50.759987,17257200
2017-03-28,58.189999,59.660000,58.119999,59.419998,51.708519,15391100
2017-03-29,59.529999,59.880001,59.270000,59.389999,51.682407,13457400
2017-03-30,59.389999,60.830002,59.360001,60.509998,52.657063,14886200
2017-03-31,60.310001,60.509998,59.790001,59.820000,52.056614,14407900
2017-04-03,59.930000,60.090000,58.650002,59.680000,51.934780,15460500
2017-04-04,59.290001,59.950001,59.200001,59.680000,51.934780,9745600
2017-04-05,60.500000,61.020000,59.529999,59.590000,51.856472,20295200
2017-04-06,59.439999,60.230000,59.009998,59.889999,52.117531,13806000
2017-04-07,59.330002,59.889999,59.259998,59.430000,51.717224,13449300
2017-04-10,59.360001,59.980000,58.980000,59.279999,51.586693,12096700
2017-04-11,58.680000,59.049999,58.080002,59.029999,51.369141,15247800
2017-04-12,59.090000,59.130001,58.270000,58.509998,50.916622,15223400
2017-04-13,58.299999,59.730000,57.680000,58.040001,50.507622,31784400
2017-04-17,58.360001,59.060001,57.930000,58.990002,51.334328,14657300
2017-04-18,58.580002,58.889999,58.070000,58.419998,50.838303,16891000
2017-04-19,58.849998,59.099998,57.599998,57.730000,50.237850,18104200
2017-04-20,58.169998,58.650002,57.549999,58.410000,50.829590,17074800
2017-04-21,58.380001,58.439999,57.630001,57.720001,50.229149,15255900
2017-04-24,59.180000,59.709999,59.070000,59.439999,51.725914,24400300
2017-04-25,60.080002,60.790001,60.000000,60.209999,52.395996,21593500
2017-04-26,60.040001,60.700001,59.959999,60.099998,52.300278,16058000
2017-04-27,59.980000,59.990002,58.930000,59.389999,51.820374,14025900
2017-04-28,59.360001,59.570000,59.049999,59.119999,51.584782,11917100
2017-05-01,59.389999,60.060001,59.160000,59.459999,51.881454,12879400
2017-05-02,59.450001,59.720001,58.930000,59.709999,52.099586,11471900
2017-05-03,59.500000,60.330002,59.299999,60.240002,52.562038,12845300
2017-05-04,60.700001,60.939999,60.090000,60.209999,52.535858,14509800
2017-05-05,60.490002,60.580002,60.099998,60.240002,52.562038,11484300
2017-05-08,60.150002,60.730000,60.119999,60.500000,52.788895,8458300
2017-05-09,60.650002,61.040001,60.070000,60.230000,52.553314,13179900
2017-05-10,60.099998,60.639999,60.000000,60.369999,52.675465,11607300
2017-05-11,60.250000,60.919998,59.919998,60.700001,52.963406,16314000
2017-05-12,60.360001,61.099998,60.209999,61.070000,53.286243,15393200
2017-05-15,61.220001,61.700001,61.090000,61.419998,53.591644,14838500
2017-05-16,61.490002,62.580002,61.380001,62.490002,54.525257,21199500
2017-05-17,62.490002,62.490002,59.669998,59.980000,52.335171,33251400
2017-05-18,59.730000,60.599998,59.099998,60.080002,52.422432,25142200
2017-05-19,60.410000,61.770000,60.240002,61.099998,53.312420,20266600
2017-05-22,61.410000,61.549999,60.720001,61.060001,53.277527,11744800
2017-05-23,61.090000,61.950001,60.730000,61.709999,53.844669,12414300
2017-05-24,61.840000,62.439999,61.660000,62.270000,54.333294,16102700
2017-05-25,62.250000,62.689999,61.779999,61.950001,54.054085,13368600
2017-05-26,61.869999,62.330002,61.650002,62.070000,54.158791,10850300
2017-05-30,61.790001,62.070000,61.509998,61.639999,53.783600,12603800
2017-05-31,61.590000,61.599998,59.869999,60.540001,52.823803,23150500
2017-06-01,60.889999,61.090000,60.169998,61.080002,53.294968,13922400
2017-06-02,60.330002,61.599998,60.299999,61.110001,53.321152,13643600
2017-06-05,61.040001,61.770000,60.959999,61.250000,53.443306,10024900
2017-06-06,60.680000,61.169998,60.439999,61.009998,53.233894,10764300
2017-06-07,61.209999,62.230000,61.099998,61.880001,53.993011,16056100
2017-06-08,61.880001,63.820000,61.720001,63.209999,55.153488,25925700
2017-06-09,63.840000,64.739998,63.509998,64.449997,56.235443,31488800
2017-06-12,64.510002,65.400002,64.070000,64.320000,56.122005,27444400
2017-06-13,64.879997,65.260002,64.330002,64.690002,56.444862,18749000
2017-06-14,64.250000,64.919998,63.500000,64.720001,56.471031,20791600
2017-06-15,64.309998,64.940002,63.939999,64.099998,55.930054,15111500
2017-06-16,64.160004,64.230003,63.709999,63.889999,55.746826,19549900
2017-06-19,64.400002,64.889999,64.260002,64.480003,56.261627,13264800
2017-06-20,64.309998,64.419998,63.910000,63.910000,55.764267,12162800
2017-06-21,63.889999,64.260002,63.610001,63.830002,55.694473,13532800
2017-06-22,63.619999,63.910000,63.340000,63.619999,55.511238,11344700
2017-06-23,64.050003,64.180000,63.160000,63.410000,55.327999,16395300
2017-06-26,63.549999,64.120003,63.209999,63.779999,55.650837,14978000
2017-06-27,64.239998,64.860001,64.010002,64.230003,56.043488,16416300
2017-06-28,65.000000,65.360001,64.519997,65.180000,56.872395,24015200
2017-06-29,67.650002,67.750000,66.260002,66.980003,58.442974,40827200
2017-06-30,67.559998,67.589996,66.720001,66.879997,58.355721,15832300
2017-07-03,67.239998,68.910004,67.239998,68.260002,59.559841,16488300
2017-07-05,68.330002,68.730003,67.949997,68.449997,59.725620,17783100
2017-07-06,68.449997,68.760002,67.570000,67.629997,59.010124,17960700
2017-07-07,68.029999,68.300003,67.440002,67.910004,59.254440,14735300
2017-07-10,67.690002,68.040001,67.440002,67.650002,59.027592,12613800
2017-07-11,67.500000,67.570000,66.599998,66.820000,58.303360,17134600
2017-07-12,66.760002,67.199997,66.540001,66.919998,58.390621,16881700
2017-07-13,67.150002,67.290001,66.690002,67.019997,58.477871,20152000
2017-07-14,66.320000,66.930000,65.519997,66.720001,58.216110,20742300
2017-07-17,66.760002,67.099998,66.419998,66.830002,58.312103,17498000
2017-07-18,66.440002,67.099998,66.220001,66.889999,58.364441,15965900
2017-07-19,67.150002,67.360001,66.500000,66.699997,58.198658,12687300
2017-07-20,66.620003,67.040001,66.330002,66.360001,57.901993,14027600
2017-07-21,66.099998,66.440002,65.889999,66.000000,57.587875,14075500
2017-07-24,65.919998,66.430000,65.910004,66.099998,57.675144,14848400
2017-07-25,67.930000,68.419998,67.809998,68.029999,59.359154,30833600
2017-07-26,68.470001,68.839996,67.790001,67.980003,59.315529,19228500
2017-07-27,68.000000,68.720001,67.360001,67.599998,58.983952,22650200
2017-07-28,67.419998,67.769997,67.000000,67.430000,58.835625,13604500
2017-07-31,67.870003,68.650002,67.519997,68.449997,59.725620,23059300
2017-08-01,69.089996,69.620003,68.750000,69.599998,60.729042,22974700
2017-08-02,69.570000,69.650002,68.820000,69.419998,60.571999,19095600
2017-08-03,68.930000,69.199997,68.010002,68.129997,59.721695,20937900
2017-08-04,68.790001,69.410004,68.709999,68.980003,60.466789,18148400
2017-08-07,69.129997,69.260002,68.690002,69.040001,60.519398,12961100
2017-08-08,69.000000,69.860001,68.820000,68.879997,60.379147,16645900
2017-08-09,68.120003,68.480003,67.919998,68.430000,59.984676,19195700
2017-08-10,68.000000,68.129997,67.150002,67.220001,58.924011,19147200
2017-08-11,67.070000,67.470001,66.589996,66.800003,58.555843,15172800
2017-08-14,67.610001,68.129997,67.410004,67.889999,59.511322,15120200
