Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,78.830002,79.330002,78.320000,79.180000,74.395233,657400
2017-03-28,78.919998,79.629997,78.690002,79.139999,74.357643,625700
2017-03-29,79.120003,79.220001,78.309998,79.209999,74.423431,990200
2017-03-30,79.129997,80.099998,78.830002,80.000000,75.165688,776200
2017-03-31,80.400002,81.320000,79.400002,81.070000,76.171036,1009100
2017-04-03,81.029999,81.440002,80.059998,80.669998,75.795212,743700
2017-04-04,80.629997,80.919998,80.220001,80.889999,76.001907,1156200
2017-04-05,81.059998,81.510002,80.239998,80.419998,75.560318,1020500
2017-04-06,80.430000,80.830002,80.110001,80.320000,75.466354,1105800
2017-04-07,80.349998,81.190002,80.010002,81.080002,76.180435,1019200
2017-04-10,81.290001,81.570000,80.779999,81.110001,76.208595,721400
2017-04-11,80.620003,80.989998,80.000000,80.589996,75.720039,1002800
2017-04-12,80.589996,81.629997,80.120003,81.529999,76.603226,1050500
2017-04-13,81.360001,82.160004,80.580002,81.290001,76.377731,671900
2017-04-17,81.260002,82.250000,80.930000,82.160004,77.195168,607200
2017-04-18,81.750000,82.620003,81.750000,81.930000,76.979057,654100
2017-04-19,81.940002,82.500000,81.940002,82.220001,77.251549,636600
2017-04-20,82.720001,83.309998,82.279999,83.000000,77.984398,945600
2017-04-21,82.970001,83.529999,82.739998,82.989998,77.974998,880300
2017-04-24,83.820000,84.150002,83.300003,83.839996,78.773628,1435600
2017-04-25,84.099998,84.629997,83.930000,84.160004,79.074295,968700
2017-04-26,82.400002,84.080002,82.400002,83.629997,78.576317,1185700
2017-04-27,83.800003,83.800003,82.290001,82.400002,77.420670,1115700
2017-04-28,82.480003,82.720001,81.849998,82.410004,77.430054,1823800
2017-05-01,82.620003,83.099998,82.309998,82.660004,77.664948,926700
2017-05-02,82.769997,83.120003,82.099998,82.980003,77.965614,948200
2017-05-03,82.489998,83.150002,82.279999,83.029999,78.012596,999000
2017-05-04,83.160004,83.709999,82.449997,82.980003,77.965614,818100
