Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,45.520000,45.549999,44.939999,45.099998,39.154083,1344800
2017-03-28,45.090000,45.209999,44.849998,45.160000,39.206169,1943400
2017-03-29,45.009998,45.070000,44.750000,44.820000,38.910988,1581100
2017-03-30,44.700001,44.720001,44.419998,44.630001,38.746040,1549700
2017-03-31,44.630001,44.910000,44.580002,44.740002,38.841526,1735200
2017-04-03,44.759998,44.840000,44.360001,44.830002,38.919678,1477300
2017-04-04,44.820000,45.099998,44.689999,44.910000,38.989128,1022500
2017-04-05,44.900002,45.299999,44.820000,45.259998,39.292976,2054600
2017-04-06,45.110001,45.220001,44.919998,45.099998,39.154083,1816300
2017-04-07,45.270000,45.349998,44.930000,44.950001,39.023853,1974900
2017-04-10,44.950001,45.279999,44.740002,45.240002,39.275616,1523600
2017-04-11,45.160000,45.389999,44.950001,45.299999,39.327709,1757300
2017-04-12,45.220001,45.770000,45.020000,45.549999,39.544750,3647000
2017-04-13,45.520000,45.560001,45.060001,45.209999,39.249573,2159800
2017-04-17,45.410000,45.549999,45.310001,45.549999,39.544750,1367900
2017-04-18,45.560001,45.759998,45.439999,45.689999,39.666298,1434800
2017-04-19,45.599998,45.709999,44.990002,45.139999,39.188808,2974200
2017-04-20,45.139999,45.139999,44.520000,44.820000,38.910988,2971900
2017-04-21,44.820000,45.299999,44.810001,45.189999,39.232201,1848500
2017-04-24,45.230000,45.529999,44.930000,45.470001,39.475296,1725000
2017-04-25,45.299999,45.560001,45.209999,45.509998,39.510021,1258300
2017-04-26,45.430000,45.750000,45.290001,45.360001,39.379803,1294900
2017-04-27,45.410000,45.849998,45.410000,45.490002,39.492664,1286800
2017-04-28,45.419998,45.580002,45.259998,45.400002,39.414528,2022600
2017-05-01,45.740002,45.939999,44.880001,45.150002,39.197483,1891300
2017-05-02,45.290001,45.490002,45.110001,45.320000,39.345070,2017300
2017-05-03,45.090000,45.250000,44.750000,44.980000,39.338512,2287100
2017-05-04,44.770000,45.180000,44.750000,45.130001,39.469707,1520900
2017-05-05,45.090000,45.580002,45.090000,45.439999,39.740818,1444200
2017-05-08,45.549999,45.549999,45.139999,45.480000,39.775803,1361000
2017-05-09,45.419998,45.439999,44.869999,44.900002,39.268547,1639800
2017-05-10,44.930000,45.279999,44.860001,45.180000,39.513424,1847300
2017-05-11,45.060001,45.250000,44.820000,45.200001,39.530918,1158500
2017-05-12,45.270000,45.619999,45.169998,45.540001,39.828278,1613500
2017-05-15,45.490002,45.770000,45.470001,45.709999,39.976955,1050400
2017-05-16,45.560001,45.689999,45.250000,45.310001,39.627129,1309800
2017-05-17,45.310001,45.759998,45.240002,45.560001,39.845768,2277200
2017-05-18,45.630001,45.959999,45.330002,45.750000,40.011944,2172400
2017-05-19,45.770000,46.080002,45.380001,46.049999,40.274319,2110700
2017-05-22,45.869999,46.520000,45.869999,46.470001,40.641628,2185600
2017-05-23,46.480000,46.939999,46.459999,46.669998,40.816544,1864700
2017-05-24,46.660000,46.849998,46.580002,46.820000,40.947739,2672900
2017-05-25,46.810001,47.439999,46.720001,47.410000,41.463741,1630900
2017-05-26,47.340000,47.500000,47.240002,47.410000,41.463741,1319500
2017-05-30,47.389999,47.610001,47.250000,47.480000,41.524960,2108100
2017-05-31,47.459999,47.700001,47.349998,47.410000,41.463741,4071800
2017-06-01,47.400002,47.680000,47.139999,47.680000,41.699879,1876000
2017-06-02,47.950001,47.950001,47.480000,47.790001,41.796085,1848000
2017-06-05,47.700001,47.790001,47.220001,47.320000,41.385029,2299400
2017-06-06,47.459999,47.459999,47.209999,47.320000,41.385029,2264200
2017-06-07,47.389999,47.639999,47.259998,47.520000,41.559948,1507900
2017-06-08,47.520000,47.520000,46.619999,46.919998,41.035191,1931900
2017-06-09,46.790001,47.009998,46.619999,46.980000,41.087669,1933100
2017-06-12,46.980000,47.160000,46.540001,47.020000,41.122650,2375100
2017-06-13,46.970001,47.279999,46.869999,47.270000,41.341297,1860400
2017-06-14,47.700001,47.869999,47.529999,47.740002,41.752350,2923200
2017-06-15,47.619999,48.090000,47.470001,48.080002,42.049713,1441100
2017-06-16,48.189999,48.369999,48.080002,48.250000,42.198387,2661900
2017-06-19,48.279999,48.310001,47.770000,47.959999,41.944759,1720600
2017-06-20,48.009998,48.119999,47.880001,48.020000,41.997238,1269700
2017-06-21,48.060001,48.060001,47.470001,47.709999,41.726109,1298500
2017-06-22,47.680000,47.930000,47.570000,47.619999,41.647396,1272400
2017-06-23,47.590000,47.750000,47.250000,47.310001,41.376286,1302500
2017-06-26,47.310001,47.810001,47.139999,47.560001,41.594917,1133400
2017-06-27,47.290001,47.400002,46.830002,47.020000,41.122650,1224500
2017-06-28,47.209999,47.209999,46.529999,46.599998,40.755325,1528300
2017-06-29,46.220001,46.490002,46.020000,46.330002,40.519199,2627500
2017-06-30,46.450001,46.650002,46.250000,46.250000,40.449226,1688100
2017-07-03,46.320000,46.459999,46.000000,46.000000,40.230579,1065400
