Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,22.840000,23.240000,22.830000,23.200001,20.531481,4531400
2017-03-28,23.190001,23.570000,23.010000,23.549999,20.841221,4743200
2017-03-29,23.629999,24.219999,23.469999,24.139999,21.363356,5604000
2017-03-30,24.190001,24.270000,23.190001,23.240000,20.566872,23084400
2017-03-31,23.469999,23.990000,23.350000,23.910000,21.159811,8901100
2017-04-03,23.950001,24.120001,23.549999,24.010000,21.248306,4202600
2017-04-04,24.049999,24.590000,23.780001,24.580000,21.752743,5348700
2017-04-05,24.879999,25.129999,24.410000,24.440001,21.628847,8571500
2017-04-06,24.500000,25.010000,24.410000,24.990000,22.115585,5064400
2017-04-07,24.920000,25.040001,24.340000,24.410000,21.602299,5095900
2017-04-10,24.639999,24.740000,24.340000,24.629999,21.796995,3398400
2017-04-11,24.510000,24.670000,24.299999,24.620001,21.788145,3451200
2017-04-12,24.540001,24.809999,24.350000,24.450001,21.637699,4419600
2017-04-13,24.469999,24.580000,23.930000,24.000000,21.239456,3987800
2017-04-17,24.000000,24.360001,24.000000,24.200001,21.416454,4486100
2017-04-18,23.940001,24.360001,23.940001,24.110001,21.336807,3775600
2017-04-19,24.240000,24.420000,23.910000,23.990000,21.230608,4016900
2017-04-20,24.070000,24.740000,23.950001,24.469999,21.655394,4903600
2017-04-21,24.389999,24.430000,23.740000,24.080000,21.310259,7291500
2017-04-24,24.209999,24.260000,23.719999,23.730000,21.000513,8173800
2017-04-25,23.790001,24.420000,23.660000,24.410000,21.602299,6935100
2017-04-26,24.170000,24.889999,24.049999,24.309999,21.513802,6312600
2017-04-27,24.110001,24.389999,23.700001,24.120001,21.345655,7577100
2017-04-28,24.660000,24.670000,23.100000,23.240000,20.566872,11866900
2017-05-01,23.350000,23.920000,23.209999,23.799999,21.062462,6487900
2017-05-02,23.850000,24.350000,23.850000,24.129999,21.354506,8772600
2017-05-03,24.020000,24.420000,23.980000,24.250000,21.460703,5283200
2017-05-04,24.070000,24.129999,23.120001,23.480000,20.779268,8344800
2017-05-05,23.650000,24.200001,23.520000,24.170000,21.389904,7915000
2017-05-08,23.940001,24.040001,23.590000,23.709999,20.982813,6500500
2017-05-09,23.750000,24.040001,23.379999,23.820000,21.080162,8473000
2017-05-10,23.990000,25.000000,23.930000,24.879999,22.018242,7266300
2017-05-11,25.250000,25.320000,24.420000,24.809999,21.956291,6794100
2017-05-12,24.889999,24.959999,24.250000,24.340000,21.540352,6768500
2017-05-15,24.610001,24.820000,24.049999,24.260000,21.513754,4904200
2017-05-16,24.260000,24.280001,23.620001,23.820000,21.123556,5076400
2017-05-17,23.820000,23.959999,23.209999,23.219999,20.591473,6408400
2017-05-18,23.100000,23.410000,22.980000,23.070000,20.458454,7952300
2017-05-19,23.129999,23.590000,23.010000,23.480000,20.822042,7160200
2017-05-22,23.610001,23.760000,23.350000,23.480000,20.822042,5057300
2017-05-23,23.500000,23.959999,23.480000,23.549999,20.884121,8000800
2017-05-24,23.500000,23.559999,22.760000,22.820000,20.236757,5006700
2017-05-25,22.730000,23.129999,22.309999,22.850000,20.263361,6154700
2017-05-26,22.840000,23.090000,22.680000,22.959999,20.360907,4403300
2017-05-30,22.740000,22.820000,22.400000,22.459999,19.917507,3563300
2017-05-31,22.240000,22.430000,22.100000,22.190001,19.678072,7888700
2017-06-01,22.280001,22.350000,21.990000,22.150000,19.642601,6100200
2017-06-02,22.070000,22.129999,21.500000,21.590000,19.145996,5606700
2017-06-05,21.400000,21.730000,21.400000,21.500000,19.066181,3738500
2017-06-06,21.740000,22.040001,21.549999,22.000000,19.509579,6443800
2017-06-07,21.860001,22.190001,21.559999,22.100000,19.598259,9297500
2017-06-08,22.100000,22.650000,21.930000,22.320000,19.793354,10769700
2017-06-09,22.360001,23.059999,22.299999,22.879999,20.289961,7007600
2017-06-12,23.110001,23.160000,22.500000,22.780001,20.201284,5908600
2017-06-13,22.879999,23.379999,22.690001,23.370001,20.724497,5539700
2017-06-14,23.129999,23.190001,22.690001,23.100000,20.485058,6014500
2017-06-15,23.000000,23.370001,22.840000,23.340000,20.697891,7868300
2017-06-16,23.459999,23.540001,22.950001,23.120001,20.502796,9137500
2017-06-19,23.040001,23.080000,22.450001,22.590000,20.032789,8209000
2017-06-20,22.280001,22.580000,22.160000,22.400000,19.864300,6285500
2017-06-21,22.290001,22.709999,22.010000,22.350000,19.819958,8493800
2017-06-22,22.430000,23.010000,22.320000,22.860001,20.272226,7432500
2017-06-23,22.879999,23.790001,22.879999,23.740000,21.052608,8893400
2017-06-26,23.860001,24.600000,23.780001,24.299999,21.549213,6239400
2017-06-27,24.480000,24.530001,24.129999,24.500000,21.726580,8279200
2017-06-28,24.580000,24.910000,24.410000,24.480000,21.708841,7818400
2017-06-29,24.620001,24.980000,24.500000,24.820000,22.010351,8305800
2017-06-30,25.160000,25.410000,24.799999,25.080000,22.240921,7005800
2017-07-03,25.090000,25.290001,24.820000,25.129999,22.285263,3820200
2017-07-05,24.910000,25.150000,24.549999,24.900000,22.081303,5787200
2017-07-06,24.950001,24.990000,24.020000,24.260000,21.513754,8985600
2017-07-07,24.160000,24.299999,23.889999,24.260000,21.513754,4781700
2017-07-10,24.260000,24.780001,24.190001,24.670000,21.877331,3882600
2017-07-11,24.639999,25.120001,24.580000,24.889999,22.072430,3579000
2017-07-12,25.059999,25.350000,24.920000,25.090000,22.249786,4370600
2017-07-13,25.059999,25.450001,24.969999,25.420000,22.542433,3610800
2017-07-14,25.430000,25.520000,25.180000,25.350000,22.480364,4722700
2017-07-17,25.370001,25.790001,25.330000,25.430000,22.551294,5788000
2017-07-18,25.530001,25.600000,24.530001,24.820000,22.010351,5686900
2017-07-19,24.879999,25.309999,24.840000,25.170000,22.320738,6660500
2017-07-20,25.330000,25.610001,24.940001,25.000000,22.169979,4712400
2017-07-21,24.980000,25.120001,24.840000,24.980000,22.152239,6011700
2017-07-24,24.900000,25.040001,24.650000,24.780001,21.974884,4085900
2017-07-25,25.120001,25.450001,25.080000,25.120001,22.276396,4571500
2017-07-26,25.230000,25.459999,25.000000,25.160000,22.311869,3193000
2017-07-27,25.180000,25.290001,24.910000,25.180000,22.329603,6260400
2017-07-28,25.100000,26.080000,24.570000,25.500000,22.613377,8282600
2017-07-31,25.320000,25.450001,24.709999,24.870001,22.054697,6128400
2017-08-01,25.049999,25.549999,25.049999,25.360001,22.489225,7505600
2017-08-02,25.190001,25.629999,24.510000,24.570000,21.788654,5796900
2017-08-03,24.670000,24.980000,24.270000,24.570000,21.788654,6494300
2017-08-04,24.570000,24.850000,24.400000,24.709999,21.912807,3769400
2017-08-07,24.639999,24.680000,24.240000,24.370001,21.611292,4073100
2017-08-08,24.280001,24.709999,24.280001,24.570000,21.833445,3279500
2017-08-09,24.750000,25.230000,24.670000,24.830000,22.064491,5949100
2017-08-10,24.889999,25.049999,24.520000,24.580000,21.842335,5929400
2017-08-11,24.480000,24.910000,24.450001,24.610001,21.868996,3630800
2017-08-14,24.719999,24.889999,24.430000,24.450001,21.726816,3410900
2017-08-15,24.379999,24.660000,24.070000,24.590000,21.851223,3707100
2017-08-16,24.590000,24.870001,24.450001,24.540001,21.806793,3408400
2017-08-17,24.490000,24.900000,24.459999,24.530001,21.797907,3735100
2017-08-18,24.510000,24.559999,24.150000,24.389999,21.673492,6443000
