Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,69.139999,69.989998,68.779999,68.970001,65.450989,2450700
2017-03-28,68.769997,68.849998,68.230003,68.550003,65.052414,2354500
2017-03-29,68.620003,70.779999,68.620003,70.690002,67.083244,3124800
2017-03-30,70.489998,70.970001,70.459999,70.860001,67.244545,1424300
2017-03-31,70.690002,70.930000,69.709999,69.730003,66.172218,2122000
2017-04-03,69.839996,70.070000,68.500000,68.820000,65.308655,2650300
2017-04-04,68.730003,68.889999,67.940002,68.349998,64.862617,3074700
2017-04-05,68.500000,69.660004,68.150002,68.500000,65.004959,3269600
2017-04-06,68.900002,70.519997,68.580002,69.550003,66.001396,2525500
2017-04-07,69.349998,70.169998,69.129997,69.330002,66.039505,3150700
2017-04-10,69.320000,70.070000,69.080002,69.559998,66.258583,2813500
2017-04-11,69.519997,69.779999,68.650002,69.150002,65.868050,2194800
2017-04-12,68.639999,69.110001,68.610001,68.959999,65.687065,2157400
2017-04-13,69.080002,69.099998,68.699997,68.739998,65.477501,1528600
2017-04-17,68.910004,69.230003,68.190002,69.120003,65.839478,2140200
2017-04-18,69.029999,69.389999,68.879997,69.070000,65.791847,1637200
2017-04-19,69.440002,70.019997,69.160004,69.309998,66.020439,1727700
2017-04-20,69.889999,71.279999,69.580002,70.669998,67.315895,2781700
2017-04-21,70.529999,70.930000,70.370003,70.720001,67.363525,2440100
2017-04-24,71.500000,71.650002,70.989998,71.419998,68.030296,1926100
2017-04-25,71.500000,71.849998,71.000000,71.550003,68.154129,2492200
2017-04-26,71.839996,72.769997,71.769997,72.599998,69.154312,2476000
2017-04-27,72.790001,73.440002,72.449997,73.220001,69.744873,3153900
2017-04-28,73.379997,73.379997,72.370003,72.709999,69.259094,2331100
2017-05-01,73.000000,73.199997,72.050003,72.050003,68.630409,2645600
2017-05-02,72.059998,73.790001,71.989998,73.769997,70.268784,2797700
2017-05-03,73.800003,74.230003,73.370003,73.989998,70.478333,2248400
2017-05-04,74.139999,74.669998,73.120003,73.370003,69.887756,1830100
2017-05-05,73.629997,73.959999,73.230003,73.620003,70.125870,2066400
2017-05-08,73.669998,73.879997,73.260002,73.690002,70.192558,1352100
2017-05-09,73.279999,73.900002,73.150002,73.690002,70.192558,2232200
2017-05-10,73.580002,74.290001,73.300003,73.910004,70.402138,2211500
2017-05-11,73.250000,73.900002,71.709999,72.059998,68.639915,2804300
2017-05-12,71.589996,72.000000,70.820000,71.580002,68.182716,1904600
2017-05-15,71.699997,72.550003,71.510002,71.720001,68.316063,1902500
2017-05-16,71.720001,71.720001,70.510002,70.940002,67.573105,2268000
2017-05-17,70.940002,71.500000,70.629997,70.669998,67.315895,2681200
2017-05-18,70.790001,71.489998,70.480003,71.129997,67.754051,2472000
2017-05-19,71.379997,72.080002,70.320000,71.949997,68.535133,2971000
2017-05-22,71.879997,72.690002,71.500000,72.449997,69.011414,1410600
2017-05-23,72.480003,72.480003,70.510002,70.709999,67.353996,4092400
2017-05-24,70.660004,70.680000,69.139999,70.209999,66.877724,3831100
2017-05-25,70.010002,73.480003,69.529999,72.470001,69.030472,4529000
2017-05-26,72.660004,72.860001,71.680000,72.320000,68.887589,1617800
2017-05-30,72.110001,73.260002,71.889999,73.019997,69.554367,2347900
2017-05-31,73.160004,73.480003,71.769997,73.389999,69.906807,4117900
2017-06-01,75.820000,78.199997,75.510002,78.190002,74.478996,7589600
2017-06-02,78.610001,79.279999,77.839996,78.910004,75.164841,3897800
2017-06-05,78.599998,79.000000,77.580002,78.309998,74.593269,2652000
2017-06-06,77.110001,77.230003,75.050003,75.339996,71.764244,5015800
2017-06-07,75.669998,75.760002,73.930000,74.070000,70.554527,4425500
2017-06-08,74.070000,75.209999,73.599998,73.690002,70.192558,2608200
2017-06-09,73.949997,75.360001,73.169998,75.220001,71.649963,3214500
2017-06-12,75.169998,76.550003,74.599998,75.110001,71.545197,2666700
2017-06-13,75.199997,75.989998,74.629997,75.709999,72.116699,1396100
2017-06-14,75.769997,75.949997,74.730003,75.660004,72.069069,1317800
2017-06-15,74.830002,74.919998,71.550003,72.320000,68.887589,4307400
2017-06-16,68.120003,71.370003,65.970001,70.120003,66.792015,11914500
2017-06-19,70.830002,72.239998,69.910004,71.699997,68.297020,6080300
2017-06-20,71.870003,72.730003,71.309998,71.400002,68.011238,3962000
2017-06-21,71.379997,72.379997,71.230003,71.730003,68.325592,3030000
2017-06-22,71.500000,71.699997,70.690002,71.080002,67.706444,2529900
2017-06-23,70.930000,71.120003,69.510002,69.750000,66.439575,7813400
2017-06-26,70.059998,70.959999,69.510002,70.410004,67.068237,3159500
2017-06-27,70.250000,71.919998,70.199997,70.790001,67.430206,2724300
2017-06-28,71.269997,72.059998,70.750000,71.480003,68.087456,2543600
2017-06-29,71.480003,71.809998,70.629997,70.839996,67.477829,2957100
2017-06-30,71.300003,72.489998,71.050003,72.089996,68.668488,2808800
2017-07-03,72.529999,73.000000,71.669998,71.930000,68.516090,1222300
2017-07-05,72.010002,72.290001,70.830002,71.239998,67.858849,2707900
2017-07-06,71.080002,71.220001,69.860001,70.029999,66.706261,1811000
2017-07-07,70.139999,70.550003,69.750000,70.230003,67.146088,1563000
2017-07-10,70.019997,70.150002,68.690002,69.489998,66.438568,3478400
2017-07-11,69.500000,69.949997,68.889999,69.040001,66.008331,7778300
2017-07-12,69.410004,69.949997,69.110001,69.690002,66.629784,3121600
2017-07-13,70.550003,71.279999,70.410004,70.580002,67.480713,3073500
2017-07-14,70.599998,71.379997,70.570000,71.139999,68.016121,3156400
2017-07-17,71.139999,72.470001,71.010002,71.870003,68.714050,2210900
2017-07-18,71.639999,71.690002,70.449997,70.800003,67.691063,1921400
2017-07-19,71.010002,71.550003,70.839996,71.389999,68.255135,1588100
2017-07-20,71.589996,71.680000,71.029999,71.349998,68.216873,2166800
2017-07-21,71.250000,72.389999,71.050003,72.199997,69.029564,3191800
2017-07-24,71.980003,72.300003,71.550003,71.980003,68.819244,2108600
2017-07-25,72.239998,73.980003,71.860001,73.570000,70.339401,1804600
2017-07-26,73.449997,74.669998,72.919998,74.599998,71.324196,2163400
2017-07-27,74.599998,75.279999,74.089996,75.120003,71.821358,2295800
2017-07-28,74.779999,75.269997,74.070000,74.750000,71.467606,2045500
2017-07-31,75.129997,75.529999,74.339996,75.160004,71.859581,1583000
2017-08-01,75.580002,76.500000,75.220001,75.519997,72.203789,3175400
2017-08-02,75.309998,75.989998,74.610001,74.709999,71.429359,3023300
2017-08-03,74.839996,75.370003,74.430000,74.489998,71.219009,1699800
