Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,25.863052,25.905849,25.435093,25.563480,20.204720,3293719
2017-03-28,25.335236,25.456491,25.228245,25.442225,20.108883,8290306
2017-03-29,25.463623,25.763195,25.178316,25.627674,20.255457,6483128
2017-03-30,25.527817,25.613409,25.313837,25.463623,20.125792,5610944
2017-03-31,25.499287,25.984308,25.427959,25.663338,20.283644,10023319
2017-04-03,25.641939,25.663338,25.342367,25.549215,20.193445,6533881
2017-04-04,25.534950,25.948645,25.477888,25.777460,20.373844,7062996
2017-04-05,25.592010,25.791725,25.506418,25.720400,20.328747,6478502
2017-04-06,25.677603,25.920115,25.492153,25.870186,20.447128,8004999
2017-04-07,25.898716,26.012838,25.627674,25.656204,20.278008,8489390
2017-04-10,25.677603,25.677603,25.456491,25.542084,20.187807,7284652
2017-04-11,25.499287,25.898716,25.370899,25.777460,20.373844,7344377
2017-04-12,25.656204,25.863052,25.506418,25.813124,20.402029,6667491
2017-04-13,25.777460,25.813124,25.549215,25.656204,20.278008,5057435
2017-04-17,25.663338,25.763195,25.563480,25.606277,20.238543,4416020
2017-04-18,25.613409,25.720400,25.477888,25.520685,20.170893,6248293
2017-04-19,25.527817,25.584879,25.221113,25.292439,19.990496,6650667
2017-04-20,25.292439,25.292439,24.843081,25.000000,19.759354,6115524
2017-04-21,25.000000,25.206846,24.971470,24.985735,19.748083,6266519
2017-04-24,25.106991,25.406563,24.942940,25.320971,20.013048,6215767
2017-04-25,25.206846,25.335236,24.850214,25.021399,19.776272,7488082
2017-04-26,24.992867,25.271042,24.893009,24.893009,19.674795,5665482
2017-04-27,24.907274,25.085592,24.821684,24.850214,19.640972,5470043
2017-04-28,24.850214,24.878744,24.629101,24.700428,19.522583,5765445
2017-05-01,24.714693,24.750357,24.400856,24.486448,19.353460,5985278
2017-05-02,24.529243,24.629101,24.336662,24.579172,19.426748,7105056
2017-05-03,24.671898,24.671898,24.022825,24.236805,19.156151,9309140
2017-05-04,24.215406,24.465050,24.165478,24.286734,19.195612,9897139
2017-05-05,24.379457,24.636234,24.365192,24.493582,19.359100,5650200
2017-05-08,24.522112,24.593437,24.372326,24.436520,19.314003,6717823
2017-05-09,24.386591,24.393723,23.944365,23.958632,18.936289,7125945
2017-05-10,24.015692,24.101284,23.858772,24.079885,19.032124,8415505
2017-05-11,23.865906,23.987162,23.751783,23.894438,19.145945,10621832
2017-05-12,24.001427,24.429386,23.894438,24.343796,19.506006,8890783
2017-05-15,24.507847,24.843081,24.493582,24.750357,19.831772,10323487
2017-05-16,24.686163,24.757488,24.450785,24.614836,19.723183,8428123
2017-05-17,24.614836,24.935806,24.557775,24.857347,19.917500,9874426
2017-05-18,24.935806,25.199715,24.621969,25.021399,20.048950,11080146
2017-05-19,25.078459,25.078459,24.807419,25.007133,20.037516,8710486
2017-05-22,24.900143,25.420828,24.900143,25.342367,20.306131,7969529
2017-05-23,25.335236,25.385164,25.171185,25.228245,20.214685,15085240
2017-05-24,25.285307,25.556349,25.206846,25.542084,20.466160,10798765
2017-05-25,25.627674,25.734665,25.463623,25.699001,20.591892,6197821
2017-05-26,25.684736,25.734665,25.485022,25.549215,20.471874,7991260
2017-05-30,25.477888,25.820257,25.435093,25.720400,20.609041,5379053
2017-05-31,25.734665,25.998573,25.663338,25.898716,20.751917,8887699
2017-06-01,25.855921,26.205421,25.748930,26.198288,20.991961,6280259
2017-06-02,26.248217,26.269615,25.977175,26.105562,20.917658,4643003
2017-06-05,26.077032,26.205421,25.948645,26.126961,20.934805,6126460
2017-06-06,26.212553,26.291014,26.062767,26.169758,20.969099,6284886
2017-06-07,26.162624,26.283880,26.069901,26.112696,20.923374,5537900
2017-06-08,26.112696,26.112696,25.848787,25.962910,20.803356,5791522
2017-06-09,25.962910,26.162624,25.905849,26.119829,20.929090,5688755
2017-06-12,26.148359,26.298145,25.955776,26.019972,20.849077,7629684
