Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,20.969999,21.139999,20.860001,21.030001,16.223452,8336900
2017-03-28,21.129999,21.450001,21.049999,21.420000,16.524319,9820900
2017-03-29,21.350000,21.500000,21.219999,21.410000,16.516602,12615100
2017-03-30,21.490000,21.690001,21.379999,21.430000,16.532030,14187900
2017-03-31,21.410000,21.770000,21.350000,21.740000,16.771183,13907500
2017-04-03,21.740000,21.820000,21.320000,21.590000,16.655466,7553000
2017-04-04,21.660000,21.680000,21.420000,21.639999,16.694033,7458200
2017-04-05,21.790001,21.920000,21.450001,21.469999,16.562891,9573500
2017-04-06,21.559999,21.879999,21.440001,21.750000,16.778896,11314800
2017-04-07,21.750000,21.830000,21.530001,21.559999,16.632320,8390500
2017-04-10,21.650000,21.850000,21.629999,21.750000,16.778896,7664000
2017-04-11,21.719999,21.730000,21.459999,21.610001,16.670893,8441500
2017-04-12,21.639999,21.730000,21.490000,21.660000,16.709461,9605200
2017-04-13,21.670000,21.850000,21.350000,21.389999,16.501171,9865300
2017-04-17,21.400000,21.490000,21.320000,21.370001,16.485744,7357700
2017-04-18,21.219999,21.400000,21.160000,21.160000,16.323740,16576200
2017-04-19,21.170000,21.290001,20.910000,20.980000,16.184885,11856200
2017-04-20,20.889999,21.180000,20.559999,20.719999,15.984309,20558900
2017-04-21,20.730000,20.750000,20.219999,20.270000,15.637156,18141500
2017-04-24,20.440001,20.660000,20.379999,20.629999,15.914872,13383600
2017-04-25,20.620001,20.950001,20.459999,20.900000,16.123167,11542300
2017-04-26,20.820000,21.219999,20.799999,20.920000,16.138599,10691700
2017-04-27,20.650000,20.830000,20.510000,20.620001,16.002785,8616500
2017-04-28,20.730000,20.740000,20.530001,20.629999,16.010538,10316600
2017-05-01,20.610001,20.670000,20.480000,20.540001,15.940692,8000300
2017-05-02,20.590000,20.719999,20.430000,20.450001,15.870852,9383600
2017-05-03,20.400000,20.570000,20.270000,20.280001,15.738914,12907000
2017-05-04,20.200001,20.280001,19.600000,19.760000,15.335351,16440200
2017-05-05,19.799999,20.230000,19.760000,20.190001,15.669068,9884600
2017-05-08,20.190001,20.260000,19.930000,20.150000,15.638027,9881400
2017-05-09,20.139999,20.290001,19.840000,19.900000,15.444004,14743700
2017-05-10,20.010000,20.440001,19.930000,20.190001,15.669068,18083500
2017-05-11,20.209999,20.270000,20.000000,20.110001,15.606983,11107900
2017-05-12,20.120001,20.139999,19.870001,19.910000,15.451766,10860700
2017-05-15,20.209999,20.290001,19.889999,19.900000,15.444004,12215300
2017-05-16,19.959999,20.040001,19.770000,19.799999,15.366392,9262400
2017-05-17,19.799999,19.799999,19.500000,19.500000,15.133571,10978500
2017-05-18,19.490000,19.629999,19.320000,19.450001,15.094767,14591700
2017-05-19,19.549999,19.760000,19.420000,19.520000,15.149091,15958200
2017-05-22,19.629999,19.650000,19.430000,19.510000,15.141336,7472300
2017-05-23,19.530001,19.629999,19.459999,19.520000,15.149091,10712400
2017-05-24,19.530001,19.760000,19.170000,19.370001,15.032681,17924100
2017-05-25,19.360001,19.790001,19.290001,19.420000,15.071485,15081800
2017-05-26,19.320000,19.389999,19.190001,19.250000,14.939553,10475500
2017-05-30,18.969999,19.000000,18.400000,18.420000,14.295403,20200300
2017-05-31,18.379999,18.950001,18.309999,18.760000,14.559272,25332100
2017-06-01,18.770000,19.090000,18.719999,18.990000,14.737769,18123600
2017-06-02,18.950001,19.020000,18.889999,18.950001,14.706724,15632500
2017-06-05,18.900000,19.020000,18.830000,18.959999,14.714489,12502000
2017-06-06,18.900000,18.940001,18.620001,18.799999,14.590314,10396900
2017-06-07,18.750000,18.920000,18.570000,18.680000,14.497188,13538200
2017-06-08,18.680000,18.900000,18.600000,18.760000,14.559272,12625500
2017-06-09,18.750000,19.150000,18.750000,19.080000,14.807617,11446800
2017-06-12,19.190001,19.389999,19.129999,19.129999,14.846417,13912400
2017-06-13,19.180000,19.299999,19.129999,19.230000,14.924025,10052300
2017-06-14,19.209999,19.240000,18.830000,18.959999,14.714489,13734800
2017-06-15,18.920000,19.030001,18.770000,18.809999,14.598073,10248200
2017-06-16,18.990000,19.200001,18.850000,19.190001,14.892988,16112500
2017-06-19,19.190001,19.270000,19.010000,19.059999,14.792095,7169700
2017-06-20,18.900000,18.920000,18.450001,18.520000,14.373010,13964100
2017-06-21,18.549999,18.830000,18.459999,18.510000,14.365252,13817400
2017-06-22,18.490000,18.700001,18.400000,18.580000,14.419574,13035900
2017-06-23,18.559999,18.830000,18.559999,18.790001,14.582554,10714100
2017-06-26,18.780001,18.959999,18.740000,18.879999,14.652400,11195700
2017-06-27,18.969999,19.080000,18.870001,18.910000,14.675684,10553600
2017-06-28,19.000000,19.180000,18.860001,19.020000,14.761058,13048000
2017-06-29,19.090000,19.250000,18.930000,19.040001,14.776574,11998800
2017-06-30,19.150000,19.250000,18.980000,19.160000,14.869705,13034600
