Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,49.580002,49.910000,49.419998,49.820000,41.460060,686400
2017-03-28,49.700001,50.169998,49.560001,50.070000,41.668114,624400
2017-03-29,49.959999,50.450001,49.959999,50.349998,41.901115,652700
2017-03-30,50.180000,50.500000,50.180000,50.410000,41.951057,489600
2017-03-31,50.380001,50.480000,50.270000,50.320000,41.876160,627200
2017-04-03,50.500000,50.900002,50.240002,50.590000,42.100861,928100
2017-04-04,50.490002,50.680000,50.250000,50.490002,42.017632,800300
2017-04-05,50.560001,51.349998,50.490002,50.810001,42.283936,1147400
2017-04-06,50.840000,51.209999,50.680000,50.900002,42.358841,1138600
2017-04-07,50.790001,51.230000,50.790001,50.910000,42.367157,795100
2017-04-10,51.029999,51.470001,51.009998,51.080002,42.508633,792300
2017-04-11,51.110001,51.560001,50.910000,51.529999,42.883118,816900
2017-04-12,51.619999,51.720001,50.820000,51.099998,42.525272,1195300
2017-04-13,50.980000,51.099998,50.630001,50.669998,42.167423,628500
2017-04-17,50.930000,51.299999,50.750000,51.259998,42.658424,1327800
2017-04-18,51.049999,51.250000,50.970001,51.099998,42.525272,1016300
2017-04-19,51.369999,51.490002,51.160000,51.259998,42.658424,740000
2017-04-20,51.650002,52.299999,51.360001,52.220001,43.457325,812200
2017-04-21,52.180000,52.480000,51.919998,52.470001,43.665390,811900
2017-04-24,52.779999,53.000000,52.639999,52.950001,44.064846,1197000
2017-04-25,53.169998,53.669998,52.990002,53.540001,44.555836,1050000
2017-04-26,53.700001,54.380001,53.310001,54.040001,44.971931,1307500
2017-04-27,54.150002,54.150002,53.330002,53.590000,44.597446,2204900
2017-04-28,54.880001,54.970001,52.340000,52.540001,43.723629,3856100
2017-05-01,52.759998,52.990002,52.540001,52.709999,43.865101,1345800
2017-05-02,52.750000,53.259998,52.599998,53.259998,44.322819,1266200
2017-05-03,53.169998,53.619999,53.110001,53.480000,44.505905,1180200
2017-05-04,53.570000,53.889999,53.310001,53.490002,44.514225,923000
2017-05-05,53.580002,53.930000,53.349998,53.790001,44.763889,741900
2017-05-08,53.919998,53.959999,53.419998,53.450001,44.480927,683600
2017-05-09,53.549999,53.680000,53.380001,53.490002,44.514225,601200
2017-05-10,53.400002,53.700001,53.330002,53.500000,44.522545,673700
2017-05-11,53.200001,53.470001,52.799999,53.160000,44.239601,838900
2017-05-12,52.889999,52.889999,51.730000,51.830002,43.132774,1578500
2017-05-15,51.970001,52.139999,51.790001,51.889999,43.182713,939700
2017-05-16,52.000000,52.000000,51.650002,51.720001,43.041237,1067100
2017-05-17,51.720001,51.720001,50.599998,50.610001,42.117500,774600
2017-05-18,50.290001,50.459999,49.919998,50.099998,41.693073,2006900
2017-05-19,50.299999,50.910000,50.080002,50.630001,42.134140,909400
2017-05-22,50.680000,51.369999,50.610001,51.299999,42.691708,666700
2017-05-23,51.450001,51.590000,51.160000,51.189999,42.600170,538800
2017-05-24,51.230000,51.779999,51.230000,51.689999,43.016262,780300
2017-05-25,52.009998,52.299999,51.810001,52.119999,43.374111,807500
2017-05-26,52.009998,52.209999,51.910000,52.080002,43.340824,552900
2017-05-30,52.180000,52.240002,51.700001,51.910000,43.199348,742700
2017-05-31,52.150002,52.150002,51.630001,52.020000,43.290905,863800
2017-06-01,52.020000,52.110001,51.509998,52.110001,43.365791,1069900
2017-06-02,52.150002,52.730000,52.090000,52.459999,43.657063,741500
2017-06-05,52.590000,52.709999,52.310001,52.619999,43.790211,628800
2017-06-06,52.400002,52.400002,51.930000,52.009998,43.282578,811100
2017-06-07,52.049999,52.240002,51.750000,51.849998,43.149426,1016800
2017-06-08,51.849998,52.189999,51.509998,52.060001,43.324188,1184800
