Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,18.120001,18.190001,17.969999,18.180000,16.649239,2915800
2017-03-28,18.110001,18.160000,17.920000,18.110001,16.585133,4216700
2017-03-29,18.680000,18.950001,18.450001,18.730000,17.152920,7569700
2017-03-30,18.700001,18.730000,18.230000,18.370001,16.823236,3167200
2017-03-31,18.379999,18.950001,18.290001,18.700001,17.125450,4979700
2017-04-03,18.580000,18.750000,18.309999,18.730000,17.152920,4489900
2017-04-04,18.740000,19.070000,18.629999,18.879999,17.290293,4466300
2017-04-05,18.879999,19.059999,18.600000,18.690001,17.116293,3784500
2017-04-06,18.700001,18.980000,18.600000,18.900000,17.308609,5780200
2017-04-07,18.920000,18.969999,18.469999,18.510000,16.951447,3658500
2017-04-10,18.510000,18.879999,18.510000,18.760000,17.180397,2997600
2017-04-11,18.690001,18.770000,18.490000,18.709999,17.134605,2695500
2017-04-12,18.660000,18.799999,18.450001,18.730000,17.152920,3962900
2017-04-13,18.750000,18.790001,18.350000,18.389999,16.841547,2724000
2017-04-17,18.379999,18.480000,18.330000,18.450001,16.896498,2724700
2017-04-18,18.389999,18.549999,18.320000,18.440001,16.887341,3685500
2017-04-19,18.469999,18.650000,17.860001,17.879999,16.374491,4801100
2017-04-20,18.010000,18.020000,17.200001,17.240000,15.788382,6910400
2017-04-21,17.260000,17.350000,16.760000,17.070000,15.632694,6418700
2017-04-24,17.150000,17.480000,17.059999,17.299999,15.843330,4138800
2017-04-25,17.070000,17.170000,16.840000,17.010000,15.577748,4951200
2017-04-26,17.030001,17.410000,16.930000,17.280001,15.825017,8660700
2017-04-27,17.180000,17.309999,16.790001,16.840000,15.448883,3956300
2017-04-28,16.920000,17.219999,16.799999,16.900000,15.503924,4055200
2017-05-01,16.700001,16.920000,16.629999,16.670000,15.292925,5518200
2017-05-02,16.270000,16.780001,15.550000,15.770000,14.467275,10205700
2017-05-03,15.760000,15.760000,14.940000,14.980000,13.742534,8193600
2017-05-04,14.980000,15.030000,14.520000,14.600000,13.393925,11847800
2017-05-05,14.670000,15.120000,14.530000,15.030000,13.788401,7759800
2017-05-08,14.960000,14.970000,14.530000,14.790000,13.568228,6579700
2017-05-09,14.950000,15.070000,14.590000,14.720000,13.504012,6700300
2017-05-10,14.750000,15.330000,14.580000,15.130000,13.880142,7121400
2017-05-11,15.020000,15.670000,14.870000,15.270000,14.008576,5532000
2017-05-12,15.290000,15.290000,15.000000,15.070000,13.825098,3264100
2017-05-15,15.080000,15.320000,14.980000,15.080000,13.834272,4169900
2017-05-16,15.050000,15.160000,14.850000,14.920000,13.687490,4205700
2017-05-17,14.920000,15.200000,14.700000,15.050000,13.806751,3762000
2017-05-18,15.000000,15.310000,14.760000,15.240000,13.981056,3992000
2017-05-19,15.920000,16.100000,15.560000,15.710000,14.412229,5644200
2017-05-22,15.730000,16.020000,15.530000,15.960000,14.641581,5800900
2017-05-23,16.590000,16.790001,15.870000,15.880000,14.568186,7323300
2017-05-24,15.880000,16.799999,15.840000,16.760000,15.375490,6612700
2017-05-25,16.730000,16.889999,16.350000,16.450001,15.091103,4819100
2017-05-26,16.480000,16.559999,16.270000,16.469999,15.109446,4007300
2017-05-30,16.440001,16.469999,16.170000,16.209999,14.870926,3232800
2017-05-31,16.209999,16.280001,15.830000,16.059999,14.733316,4360000
2017-06-01,16.510000,16.770000,16.240000,16.760000,15.375490,4620400
2017-06-02,16.709999,17.180000,16.670000,16.920000,15.522273,5383800
2017-06-05,16.860001,17.010000,16.610001,16.700001,15.320451,3633100
2017-06-06,16.709999,16.900000,16.540001,16.780001,15.393840,5652700
2017-06-07,16.730000,16.750000,16.260000,16.400000,15.045230,4679600
2017-06-08,16.400000,16.450001,16.150000,16.400000,15.045230,3135600
2017-06-09,16.360001,16.709999,16.290001,16.690001,15.311274,2969000
2017-06-12,16.670000,16.820000,16.540001,16.709999,15.329623,4641100
2017-06-13,16.740000,16.990000,16.690001,16.940001,15.540625,3589800
2017-06-14,16.879999,16.969999,16.320000,16.469999,15.109446,6925300
2017-06-15,16.469999,16.750000,16.250000,16.610001,15.237886,3483100
2017-06-16,16.620001,16.930000,16.260000,16.910000,15.513100,5700000
2017-06-19,16.959999,17.090000,16.770000,16.950001,15.549795,3212000
2017-06-20,16.860001,16.910000,16.490000,16.760000,15.375490,3131100
2017-06-21,16.860001,17.139999,16.730000,16.780001,15.393840,3899400
2017-06-22,16.830000,17.450001,16.830000,17.230000,15.806665,4316400
2017-06-23,17.230000,17.420000,17.120001,17.389999,15.953449,5152000
2017-06-26,17.420000,17.750000,17.420000,17.639999,16.182796,8019300
2017-06-27,17.650000,17.740000,17.209999,17.209999,15.788314,2920500
2017-06-28,17.320000,17.580000,17.299999,17.320000,15.889230,2814900
2017-06-29,17.260000,17.340000,16.850000,17.020000,15.614015,3308400
2017-06-30,17.049999,17.400000,17.049999,17.219999,15.797488,3403600
2017-07-03,17.340000,17.629999,17.110001,17.170000,15.751623,1807000
2017-07-05,17.129999,17.379999,16.799999,16.799999,15.412187,3659000
2017-07-06,16.879999,16.950001,16.330000,16.360001,15.008533,4213600
2017-07-07,16.340000,16.400000,15.950000,16.240000,14.898444,4773500
2017-07-10,16.209999,16.370001,16.040001,16.120001,14.788363,5976400
2017-07-11,16.340000,16.520000,16.139999,16.299999,14.953488,7656000
2017-07-12,19.510000,21.139999,18.900000,21.090000,19.347801,53494000
2017-07-13,21.530001,23.360001,21.440001,22.200001,20.366102,36824800
2017-07-14,22.240000,23.280001,22.200001,23.240000,21.320194,17236700
2017-07-17,23.240000,23.260000,22.410000,22.920000,21.026632,11527800
2017-07-18,22.959999,23.469999,22.670000,23.420000,21.485325,8665100
2017-07-19,23.420000,24.120001,23.100000,24.000000,22.017410,10103400
2017-07-20,24.000000,24.160000,23.670000,24.110001,22.118322,8014400
2017-07-21,24.150000,24.590000,23.840000,24.490000,22.466932,8096700
2017-07-24,24.420000,25.290001,24.270000,25.280001,23.191671,9173800
2017-07-25,25.370001,25.430000,24.910000,25.010000,22.943977,8829900
2017-07-26,25.059999,25.250000,24.549999,24.670000,22.632061,8624600
2017-07-27,24.750000,25.100000,24.469999,24.610001,22.577019,9561600
2017-07-28,24.639999,25.240000,24.490000,25.170000,23.118940,4679800
2017-07-31,25.180000,25.209999,24.559999,24.620001,22.613758,5065500
