Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,204.440002,205.389999,203.500000,204.990005,199.263260,706700
2017-03-28,204.429993,208.699997,204.300003,207.360001,201.567017,491700
2017-03-29,206.889999,208.190002,206.649994,207.529999,201.732269,315500
2017-03-30,207.289993,209.009995,207.199997,208.929993,203.093155,396800
2017-03-31,208.250000,209.080002,206.449997,206.490005,200.721329,729700
2017-04-03,207.130005,207.130005,204.619995,206.050003,200.293655,608800
2017-04-04,206.320007,207.100006,205.460007,206.830002,201.051834,372400
2017-04-05,207.179993,209.449997,206.440002,207.080002,201.636093,653000
2017-04-06,207.229996,208.750000,205.720001,208.110001,202.638977,428200
2017-04-07,208.020004,208.839996,206.970001,208.210007,202.736343,416400
2017-04-10,208.210007,210.649994,207.639999,208.899994,203.408203,352400
2017-04-11,207.850006,209.380005,204.990005,206.949997,201.509476,514400
2017-04-12,205.800003,206.740005,204.880005,205.470001,200.068390,397000
2017-04-13,204.809998,206.380005,204.770004,205.009995,199.620483,300400
2017-04-17,205.899994,207.440002,205.199997,207.440002,201.986588,368700
2017-04-18,206.649994,207.750000,206.649994,207.139999,201.694473,357500
2017-04-19,208.330002,208.580002,206.160004,206.600006,201.168671,416300
2017-04-20,207.399994,209.800003,206.990005,208.839996,203.349808,262100
2017-04-21,209.309998,210.369995,208.550003,209.750000,204.235870,495900
2017-04-24,212.000000,214.250000,212.000000,213.729996,208.111237,744800
2017-04-25,214.490005,217.139999,214.000000,216.360001,210.672089,613500
2017-04-26,216.059998,216.990005,214.979996,215.389999,209.727570,579600
2017-04-27,215.720001,217.880005,215.000000,217.630005,211.908707,709700
2017-04-28,218.000000,225.570007,217.580002,218.699997,212.950592,1041700
2017-05-01,218.729996,219.570007,216.250000,216.779999,211.081070,494100
2017-05-02,217.509995,218.389999,216.250000,217.229996,211.519226,556400
2017-05-03,216.399994,217.110001,215.160004,216.750000,211.051849,458500
2017-05-04,217.070007,218.449997,216.500000,218.220001,212.483215,499500
2017-05-05,218.710007,220.929993,217.889999,220.899994,215.092728,530300
2017-05-08,220.520004,222.070007,220.380005,220.889999,215.083008,434800
2017-05-09,221.070007,222.389999,221.020004,221.899994,216.066452,353200
2017-05-10,221.720001,222.889999,220.809998,222.619995,216.767502,405700
2017-05-11,221.919998,222.940002,220.509995,222.789993,216.933075,375100
2017-05-12,221.860001,222.699997,220.710007,221.479996,215.657516,474500
2017-05-15,221.630005,222.850006,221.449997,222.399994,216.553345,552100
2017-05-16,222.850006,224.320007,221.800003,224.190002,218.296219,349800
2017-05-17,224.190002,224.190002,219.710007,219.710007,213.934036,514100
2017-05-18,219.850006,220.410004,216.800003,219.350006,213.583496,544700
2017-05-19,219.820007,222.589996,219.410004,221.570007,215.745178,421600
2017-05-22,222.490005,223.660004,221.570007,223.460007,217.585449,404200
2017-05-23,223.869995,225.399994,222.869995,224.809998,218.899994,334900
2017-05-24,224.800003,225.800003,224.119995,225.179993,219.260208,263700
2017-05-25,226.000000,227.449997,225.490005,226.750000,220.788940,262100
2017-05-26,225.970001,228.039993,225.770004,227.080002,221.110275,319500
2017-05-30,226.220001,228.210007,226.020004,227.699997,221.713974,289900
2017-05-31,228.589996,230.119995,227.199997,227.199997,221.227158,858000
2017-06-01,228.160004,230.470001,227.009995,229.669998,223.632217,434500
2017-06-02,230.339996,232.869995,230.050003,231.199997,225.121979,384500
2017-06-05,230.830002,231.679993,230.279999,230.360001,224.304047,397400
2017-06-06,230.000000,230.000000,228.279999,228.360001,222.356628,414700
2017-06-07,228.830002,230.199997,227.880005,228.880005,222.863007,329700
2017-06-08,228.880005,229.610001,226.820007,228.449997,222.444275,509100
2017-06-09,228.649994,230.149994,227.220001,228.839996,222.823990,432300
2017-06-12,229.190002,229.619995,227.139999,227.139999,221.168701,474500
2017-06-13,227.339996,228.610001,226.639999,228.429993,222.424759,351900
2017-06-14,229.279999,229.410004,227.770004,228.839996,222.823990,304500
2017-06-15,227.360001,230.940002,226.899994,230.729996,224.664307,401900
2017-06-16,231.380005,233.100006,230.059998,232.199997,226.095688,697600
2017-06-19,232.600006,235.500000,232.330002,235.250000,229.065506,434200
2017-06-20,234.410004,235.139999,232.470001,232.949997,226.825958,280100
2017-06-21,232.889999,233.240005,231.000000,232.669998,226.553314,391700
2017-06-22,232.580002,233.789993,232.250000,232.410004,226.300125,274400
2017-06-23,232.770004,233.250000,231.149994,231.509995,225.423782,1180500
2017-06-26,232.550003,233.660004,231.460007,232.589996,226.475433,370200
2017-06-27,232.169998,232.850006,229.949997,230.119995,224.070343,229000
2017-06-28,231.449997,233.190002,230.759995,232.300003,226.193054,296400
2017-06-29,232.139999,232.529999,228.399994,229.910004,223.865860,434000
2017-06-30,230.610001,232.619995,230.399994,231.529999,225.443298,315900
2017-07-03,233.080002,233.809998,230.929993,232.339996,226.231964,179900
2017-07-05,232.649994,236.509995,231.669998,235.270004,229.430618,395800
2017-07-06,234.630005,235.699997,232.479996,233.149994,227.363174,511200
2017-07-07,233.449997,236.169998,233.449997,234.449997,228.630936,312700
2017-07-10,233.690002,237.190002,233.649994,234.740005,228.913727,443600
2017-07-11,234.710007,235.889999,233.300003,235.270004,229.430618,358500
2017-07-12,236.809998,238.490005,236.500000,237.660004,231.761261,394600
2017-07-13,237.539993,237.539993,235.500000,236.399994,230.532501,402200
2017-07-14,236.839996,238.169998,234.660004,235.809998,229.957184,461400
2017-07-17,235.619995,236.759995,234.830002,236.539993,230.669052,218000
2017-07-18,235.889999,236.149994,233.449997,233.949997,228.143372,378100
2017-07-19,234.199997,236.139999,232.789993,236.059998,230.200989,402600
