Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,132.000000,132.619995,131.729996,132.490005,125.180908,698200
2017-03-28,132.220001,132.889999,131.440002,132.699997,125.379303,750900
2017-03-29,131.919998,132.240005,131.139999,131.899994,125.023872,1359000
2017-03-30,131.699997,132.509995,131.509995,131.949997,125.071243,607600
2017-03-31,131.539993,132.199997,131.470001,131.649994,124.786896,753500
2017-04-03,131.649994,132.419998,130.589996,131.929993,125.052307,998400
2017-04-04,131.919998,132.130005,130.630005,131.410004,124.559418,710900
2017-04-05,131.210007,132.259995,130.940002,131.179993,124.341415,669400
2017-04-06,131.300003,131.300003,130.259995,130.839996,124.019127,752300
2017-04-07,130.889999,131.330002,130.529999,130.839996,124.019127,867900
2017-04-10,130.669998,131.330002,130.550003,130.729996,123.914864,761200
2017-04-11,130.449997,131.179993,129.940002,130.589996,123.782143,774500
2017-04-12,130.440002,130.850006,129.820007,130.410004,123.611526,998500
2017-04-13,130.179993,130.660004,129.839996,129.929993,123.156540,758700
2017-04-17,130.270004,131.199997,130.190002,130.970001,124.142349,1606600
2017-04-18,130.550003,131.160004,130.059998,130.910004,124.085457,792800
2017-04-19,131.559998,132.270004,130.990005,131.820007,124.948036,1018500
2017-04-20,131.809998,133.029999,131.199997,132.759995,125.839050,972800
2017-04-21,132.600006,133.429993,132.270004,132.940002,126.009651,943100
2017-04-24,133.960007,134.789993,133.729996,134.449997,127.440903,1300300
2017-04-25,134.929993,136.039993,134.460007,135.589996,128.521515,1481700
2017-04-26,134.649994,136.410004,131.669998,136.190002,129.090225,2316800
2017-04-27,136.369995,136.600006,135.259995,135.369995,128.312943,995300
2017-04-28,135.100006,136.470001,135.100006,136.369995,129.260864,1533400
2017-05-01,136.429993,136.710007,135.410004,135.770004,128.692108,851700
2017-05-02,136.020004,136.789993,135.500000,136.169998,129.071243,1271200
2017-05-03,136.000000,136.270004,135.020004,135.710007,128.635208,734000
2017-05-04,135.639999,135.649994,134.789993,134.979996,127.943321,1038400
2017-05-05,135.429993,136.000000,134.770004,135.960007,128.872238,710600
2017-05-08,135.789993,136.000000,134.600006,134.850006,127.820076,747600
