Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,36.320000,36.490002,35.830002,36.080002,30.615088,1414200
2017-03-28,36.029999,36.310001,35.630001,36.259998,30.767826,1265100
2017-03-29,36.180000,36.230000,35.810001,36.099998,30.632055,1411000
2017-03-30,36.020000,36.200001,35.680000,36.150002,30.674482,949800
2017-03-31,36.110001,36.389999,36.029999,36.259998,30.767826,1425800
2017-04-03,36.259998,36.380001,35.849998,36.049999,30.589632,890800
2017-04-04,36.000000,36.590000,35.900002,36.189999,30.708427,874800
2017-04-05,36.169998,36.259998,35.650002,36.139999,30.666000,1205800
2017-04-06,35.750000,36.139999,35.630001,36.040001,30.845737,918900
2017-04-07,36.099998,36.270000,35.980000,36.150002,30.939877,952300
2017-04-10,36.119999,36.430000,36.009998,36.360001,31.119610,808600
2017-04-11,36.349998,36.619999,36.240002,36.520000,31.256557,917100
2017-04-12,36.500000,36.619999,36.180000,36.200001,30.982668,1315600
2017-04-13,36.200001,36.299999,35.990002,36.029999,30.837173,1029500
2017-04-17,36.189999,36.660000,36.090000,36.660000,31.376381,1263600
2017-04-18,36.619999,36.900002,36.529999,36.750000,31.453405,824300
2017-04-19,36.720001,36.810001,36.459999,36.520000,31.256557,918000
2017-04-20,36.470001,36.480000,36.080002,36.259998,31.034023,1146900
2017-04-21,36.189999,36.389999,36.049999,36.209999,30.991236,891500
2017-04-24,36.459999,36.509998,35.430000,35.970001,30.785824,1636300
2017-04-25,36.080002,37.130001,35.889999,37.060001,31.718727,2470300
2017-04-26,36.980000,37.540001,36.740002,37.180000,31.821432,2726700
2017-04-27,37.180000,37.419998,36.830002,37.029999,31.693047,1552900
2017-04-28,37.020000,37.349998,36.810001,37.340000,31.958366,2004700
2017-05-01,37.320000,37.799999,37.200001,37.610001,32.189461,1603400
2017-05-02,37.619999,37.750000,37.290001,37.430000,32.035404,968100
2017-05-03,37.529999,37.529999,37.130001,37.209999,31.847105,1454500
2017-05-04,37.029999,37.669998,36.860001,37.619999,32.198017,1660000
2017-05-05,37.689999,38.000000,37.590000,37.980000,32.506134,1541000
2017-05-08,38.080002,38.110001,37.610001,37.930000,32.463337,2037400
2017-05-09,37.900002,38.009998,37.459999,37.549999,32.138103,1544000
2017-05-10,37.549999,37.900002,37.439999,37.520000,32.112427,1452200
2017-05-11,37.209999,37.689999,37.119999,37.610001,32.189461,1106700
2017-05-12,37.650002,37.779999,37.560001,37.660000,32.232250,897700
