Date,Open,High,Low,Close,Adj Close,Volume
2017-03-27,117.145630,117.145630,115.359222,116.786407,112.270981,1493603
2017-03-28,117.368935,117.922333,116.446602,117.660194,113.110977,915567
2017-03-29,117.320389,118.223305,117.223305,117.834953,113.510521,522622
2017-03-30,117.446602,118.359222,117.378639,117.825241,113.501152,542192
2017-03-31,117.271843,118.893204,117.009712,118.553398,114.202591,886727
2017-04-03,118.427185,118.718445,116.776695,117.815536,113.491798,1000954
2017-04-04,118.097084,118.252426,116.223305,117.252426,112.949356,594310
2017-04-05,117.242722,118.009712,116.553398,116.679611,112.397575,807417
2017-04-06,116.912621,116.961166,116.097084,116.699028,112.416267,912477
2017-04-07,116.621361,116.922333,116.281555,116.388351,112.116997,449904
2017-04-10,116.485435,117.252426,116.281555,116.533981,112.257294,471637
2017-04-11,116.320389,116.533981,115.776695,116.097084,111.836456,512734
2017-04-12,115.446602,116.116508,115.067963,115.699028,111.452988,677225
2017-04-13,115.563110,116.728157,114.893204,116.048546,111.789658,709052
2017-04-17,116.524269,117.631065,116.252426,117.631065,113.314110,572371
2017-04-18,117.067963,117.378639,115.699028,116.087379,111.827080,981590
2017-04-19,116.699028,117.262138,116.048546,116.757278,112.472389,821013
2017-04-20,116.825241,118.689323,115.980583,118.300972,113.959427,858402
2017-04-21,118.116508,118.514565,117.291260,117.660194,113.342163,838626
2017-04-24,118.902916,119.922333,118.271843,119.679611,115.287468,930296
2017-04-25,119.805824,121.126213,119.427185,120.864075,116.428467,1109104
2017-04-26,121.019417,121.766991,120.359222,121.669907,117.204727,1797453
2017-04-27,112.135925,115.048546,111.650482,114.660194,110.452278,6083592
2017-04-28,114.320389,116.407768,113.621361,116.165047,111.901886,2434611
2017-05-01,116.203880,118.398056,115.533981,117.300972,112.996140,2261571
2017-05-02,117.378639,117.718445,116.786407,117.116508,112.818436,1194903
2017-05-03,116.951454,117.213593,115.145630,115.951454,111.696144,1116829
2017-05-04,115.873787,116.194176,112.796120,113.446602,109.283211,2413805
2017-05-05,114.038834,114.038834,112.378639,113.145630,108.993263,1546133
2017-05-08,113.213593,113.796120,112.650482,113.504852,109.339310,1269990
2017-05-09,113.446602,115.378639,113.398056,115.203880,110.975998,1497002
2017-05-10,115.038834,116.223305,114.601944,116.009712,111.752258,1390088
2017-05-11,116.339806,117.631065,115.184464,117.495148,113.183167,2073699
2017-05-12,117.339806,119.349518,117.038834,117.728157,113.407639,2089355
2017-05-15,117.456314,119.533981,116.601944,118.766991,114.408363,2595703
2017-05-16,116.650482,118.155342,114.951454,116.291260,112.023476,3984349
2017-05-17,116.291260,116.291260,113.951454,114.291260,110.096886,1820834
2017-05-18,114.291260,115.145630,113.417473,113.844658,109.666656,1121876
2017-05-19,114.145630,114.514565,112.834953,114.242722,110.050117,1036283
2017-05-22,114.621361,114.621361,113.524269,114.359222,110.162338,1046480
2017-05-23,114.553398,114.844658,113.864075,114.378639,110.181046,1294916
2017-05-24,114.466019,115.718445,113.980583,115.631065,111.387489,1199744
2017-05-25,115.883492,116.398056,115.495148,115.825241,111.574570,650136
2017-05-26,115.970871,116.165047,115.446602,115.757278,111.509087,667543
2017-05-30,115.165047,115.582527,114.582527,114.980583,110.760902,536321
2017-05-31,114.980583,115.932037,114.174759,115.737862,111.490387,841922
2017-06-01,116.194176,119.466019,115.834953,119.097084,114.726318,1681681
2017-06-02,118.203880,120.728157,118.203880,120.330093,115.914085,1436026
2017-06-05,120.718445,120.718445,119.601944,120.320389,115.904762,1061003
2017-06-06,119.902916,120.825241,119.902916,120.553398,116.129173,1152261
2017-06-07,120.873787,121.097084,120.291260,120.728157,116.297554,860771
2017-06-08,120.728157,121.902916,120.291260,121.524269,117.064423,1063269
2017-06-09,121.543686,122.271843,120.135925,121.368935,116.914795,1372166
2017-06-12,120.951454,121.446602,119.339806,121.359222,116.905457,1054514
2017-06-13,121.126213,122.106796,120.902916,121.815536,117.345024,667852
2017-06-14,122.300972,122.330093,121.320389,121.941750,117.466591,827502
2017-06-15,121.223305,122.524269,120.796120,122.174759,117.691055,876942
2017-06-16,122.524269,122.699028,121.776695,122.252426,117.765869,1116520
2017-06-19,122.543686,123.563110,122.135925,123.388351,118.860123,939772
2017-06-20,123.553398,124.165047,123.388351,123.514565,118.981697,895791
2017-06-21,123.873787,125.194176,123.155342,124.776695,120.431519,1125687
2017-06-22,124.796120,126.407768,124.796120,125.621361,121.246758,1177805
2017-06-23,125.873787,125.873787,125.106796,125.330093,120.965622,3403429
2017-06-26,125.572815,126.038834,124.737862,125.300972,120.937531,1047407
2017-06-27,125.067963,125.349518,124.058250,124.514565,120.178497,954604
2017-06-28,125.388351,125.650482,124.631065,124.766991,120.422150,1155248
2017-06-29,125.184464,125.194176,123.300972,124.165047,119.841171,1350330
2017-06-30,124.165047,125.165047,124.165047,124.660194,120.319069,764672
2017-07-03,125.252426,125.339806,124.466019,124.640778,120.300331,562483
2017-07-05,124.805824,125.223305,122.640778,124.048546,119.728722,1914976
2017-07-06,123.417473,123.815536,121.747574,121.970871,117.723404,1578372
2017-07-07,122.281555,123.980583,121.825241,123.407768,119.110260,1066771
2017-07-10,123.417473,123.990288,123.174759,123.689323,119.382019,1056368
2017-07-11,123.679611,123.786407,122.786407,122.805824,118.529282,1224052
2017-07-12,124.718445,125.233009,121.961166,122.679611,118.407463,3235848
2017-07-13,122.844658,127.155342,122.184464,125.223305,120.862572,4227223
2017-07-14,125.495148,129.213593,125.446602,128.631073,124.151657,1873261
2017-07-17,128.650482,129.601944,128.058258,128.747574,124.264114,971599
2017-07-18,128.427185,128.757278,126.883492,127.359222,122.924126,1561480
2017-07-19,127.524269,128.349518,127.058250,127.252426,122.821022,1477020
2017-07-20,127.572815,127.650482,125.572815,125.699028,121.321739,2644937
2017-07-21,125.776695,126.417473,125.407768,125.834953,121.452927,940287
2017-07-24,126.038834,126.165047,124.174759,125.038834,120.684532,1867699
2017-07-25,125.436890,125.669907,124.456314,125.019417,120.665802,1250420
2017-07-26,125.067963,125.533981,124.757278,124.951454,120.600189,1362587
2017-07-27,123.873787,123.883492,121.252426,121.786407,117.545372,3900610
2017-07-28,121.126213,121.330093,120.058250,120.174759,115.989830,1568793
2017-07-31,120.097084,120.097084,117.543686,117.786407,113.684662,2325122
2017-08-01,118.262138,118.262138,116.747574,116.815536,112.747604,2225315
2017-08-02,116.766991,116.834953,113.970871,114.262138,110.283104,2634843
2017-08-03,113.796120,114.718445,113.000000,113.747574,109.786461,2097698
2017-08-04,113.854370,114.640778,112.951454,114.495148,110.508018,1749043
2017-08-07,114.485435,114.553398,113.446602,113.776695,109.814568,831210
2017-08-08,113.669907,113.669907,111.233009,111.689323,107.799889,1597530
2017-08-09,110.631065,110.951454,108.951454,109.572815,105.757095,1907972
2017-08-10,109.145630,109.300972,106.883492,106.922333,103.198906,2286394
2017-08-11,107.213593,109.087379,107.038834,108.446602,104.670090,1542013
2017-08-14,109.300972,110.339806,108.572815,109.233009,105.429115,986431
2017-08-15,109.728157,110.097084,108.902916,109.679611,105.860168,1396680
2017-08-16,110.368935,110.970871,109.650482,109.786407,105.963234,1565600
2017-08-17,109.708740,110.766991,109.077667,109.145630,105.344780,1102306
2017-08-18,109.194176,109.194176,108.087379,108.135925,104.370247,1067183
2017-08-21,108.378639,109.883492,108.300972,109.485435,105.672737,1298521
2017-08-22,109.466019,110.766991,109.262138,110.640778,106.787865,1689818
2017-08-23,109.747574,110.145630,108.689323,109.009712,105.213593,1357334
2017-08-24,109.543686,110.640778,109.135925,109.563110,105.747726,1023717
2017-08-25,110.184464,110.621361,109.825241,109.893204,106.066330,772912
2017-08-28,110.262138,110.339806,109.058250,109.601944,105.785217,792688
2017-08-29,109.106796,109.844658,108.621361,109.533981,105.719597,725017
2017-08-30,109.524269,109.776695,108.728157,109.718445,105.897652,1112091
2017-08-31,110.203880,111.582527,109.902916,110.941750,107.078362,1268342
2017-09-01,111.135925,111.378639,110.203880,111.000000,107.134552,733154
2017-09-05,110.747574,111.970871,110.116508,110.912621,107.050240,1546545
2017-09-06,111.194176,112.466019,110.543686,112.262138,108.352760,1077174
2017-09-07,112.262138,112.737862,111.902916,112.300972,108.390251,693396
2017-09-08,111.970871,113.213593,111.572815,112.330093,108.418350,1029279
2017-09-11,112.864075,113.485435,112.242722,112.427185,108.512070,973144
2017-09-12,112.368935,114.067963,111.980583,113.038834,109.102402,1016713
2017-09-13,112.932037,113.135925,111.932037,112.514565,108.596397,947188
2017-09-14,112.330093,112.961166,112.252426,112.611649,108.690086,1748631
2017-09-15,112.553398,112.737862,111.106796,112.106796,108.202835,1675501
2017-09-18,112.242722,113.009712,111.883492,112.912621,108.980598,1376492
2017-09-19,112.961166,113.572815,111.951454,112.116508,108.212196,2274652
2017-09-20,112.281555,113.271843,111.873787,112.834953,108.905640,1279569
2017-09-21,112.864075,112.922333,109.398056,109.766991,106.170334,1441588
2017-09-22,109.796120,111.145630,109.378639,111.067963,107.428680,1647073
2017-09-25,111.058250,112.106796,109.679611,111.038834,107.400490,1428301
2017-09-26,111.184464,112.194176,110.834953,111.407768,107.757339,1038446
2017-09-27,111.805824,112.980583,111.029129,112.864075,109.165939,1220138
2017-09-28,112.728157,112.912621,111.766991,112.291260,108.611885,1014447
2017-09-29,112.349518,113.728157,112.038834,113.679611,109.954735,1090461
2017-10-02,113.902916,114.766991,113.155342,114.271843,110.527557,1043390
2017-10-03,114.553398,114.679611,112.699028,112.766991,109.072029,1086547
2017-10-04,112.776695,114.194176,112.495148,114.106796,110.367928,1503800
2017-10-05,114.135925,116.106796,113.854370,115.689323,111.898605,1109825
2017-10-06,115.126213,115.844658,114.621361,115.796120,112.001900,896718
2017-10-09,115.766991,115.766991,113.640778,114.097084,110.358543,991684
2017-10-10,114.097084,115.300972,114.097084,114.961166,111.194321,1120331
2017-10-11,114.757278,115.310677,114.320389,115.184464,111.410294,945746
2017-10-12,114.902916,117.233009,114.621361,117.116508,113.279015,1530580
2017-10-13,116.844658,117.077667,115.553398,116.213593,112.405701,822661
2017-10-16,116.116508,116.349518,115.563110,116.029129,112.227280,1392972
2017-10-17,116.184464,116.485435,115.339806,116.436890,112.621674,870968
2017-10-18,116.621361,117.349518,116.378639,117.174759,113.335350,904958
2017-10-19,117.378639,118.388351,116.669907,118.330093,114.452850,1131043
2017-10-20,118.805824,119.252426,117.786407,118.786407,114.894211,816481
2017-10-23,118.980583,120.213593,118.097084,118.155342,114.283821,906812
2017-10-24,118.398056,118.553398,116.834953,117.679611,113.823685,1365677
2017-10-25,117.475731,118.145630,116.436890,117.922333,114.058464,1534700
2017-10-26,117.961166,118.436890,117.252426,117.475731,113.626488,1221889
2017-10-27,118.485435,121.116508,117.485435,120.834953,116.875633,1539438
2017-10-30,119.786407,120.281555,117.359222,117.815536,113.955139,1636155
2017-10-31,118.174759,118.864075,117.368935,118.077667,114.208694,1877587
2017-11-01,108.650482,113.718445,107.563110,111.737862,108.076622,4707100
2017-11-02,111.553398,111.805824,108.048546,109.048546,105.475433,3582649
2017-11-03,106.873787,107.766991,105.378639,106.067963,102.592514,4036261
2017-11-06,106.135925,107.300972,105.776695,106.155342,102.677017,2590759
2017-11-07,106.776695,106.776695,105.019417,105.553398,102.094803,1317679
2017-11-08,105.388351,106.640778,104.883492,105.990288,102.517365,1847923
2017-11-09,105.854370,108.601944,105.757278,108.582527,105.024681,1704238
2017-11-10,108.038834,108.504852,106.378639,107.524269,104.001083,1002602
2017-11-13,106.873787,108.058250,106.679611,107.825241,104.292206,1313868
2017-11-14,109.553398,109.679611,107.883492,108.941750,105.372124,1347343
2017-11-15,108.708740,108.922333,107.126213,107.844658,104.310989,1184500
2017-11-16,108.067963,109.660194,107.747574,108.970871,105.400291,1680857
2017-11-17,108.252426,109.087379,108.252426,108.359222,104.808693,1074599
2017-11-20,108.737862,109.398056,108.359222,108.912621,105.343964,966964
2017-11-21,109.699028,110.990288,109.281555,110.252426,106.639862,1152055
2017-11-22,110.223305,110.349518,109.184464,109.776695,106.179726,809477
2017-11-24,109.660194,110.009712,108.815536,109.776695,106.179726,297773
2017-11-27,110.106796,110.349518,109.359222,110.087379,106.480232,855209
2017-11-28,110.087379,112.019417,109.097084,111.854370,108.189308,1875012
2017-11-29,112.135925,113.339806,111.650482,113.126213,109.419479,1809401
2017-11-30,113.310677,114.291260,112.631065,113.689323,109.964149,1947318
2017-12-01,113.922333,114.242722,110.495148,111.233009,107.588303,1532537
